"date","geography","geography code","Rural Urban","Sex: All persons; Economic Activity: All usual residents aged 16 to 74; measures: Value","Sex: All persons; Economic Activity: Economically active; measures: Value","Sex: All persons; Economic Activity: Economically active: In employment; measures: Value","Sex: All persons; Economic Activity: Economically active: Employee: Part-time; measures: Value","Sex: All persons; Economic Activity: Economically active: Employee: Full-time; measures: Value","Sex: All persons; Economic Activity: Economically active: Self-employed; measures: Value","Sex: All persons; Economic Activity: Economically active: Unemployed; measures: Value","Sex: All persons; Economic Activity: Economically active: Full-time student; measures: Value","Sex: All persons; Economic Activity: Economically Inactive; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Retired; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Sex: All persons; Economic Activity: Economically inactive: Looking after home or family; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Other; measures: Value","Sex: All persons; Economic Activity: Unemployed: Age 16 to 24; measures: Value","Sex: All persons; Economic Activity: Unemployed: Age 50 to 74; measures: Value","Sex: All persons; Economic Activity: Unemployed: Never worked; measures: Value","Sex: All persons; Economic Activity: Long-term unemployed; measures: Value","Sex: Males; Economic Activity: All usual residents aged 16 to 74; measures: Value","Sex: Males; Economic Activity: Economically active; measures: Value","Sex: Males; Economic Activity: Economically active: In employment; measures: Value","Sex: Males; Economic Activity: Economically active: Employee: Part-time; measures: Value","Sex: Males; Economic Activity: Economically active: Employee: Full-time; measures: Value","Sex: Males; Economic Activity: Economically active: Self-employed; measures: Value","Sex: Males; Economic Activity: Economically active: Unemployed; measures: Value","Sex: Males; Economic Activity: Economically active: Full-time student; measures: Value","Sex: Males; Economic Activity: Economically Inactive; measures: Value","Sex: Males; Economic Activity: Economically inactive: Retired; measures: Value","Sex: Males; Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Sex: Males; Economic Activity: Economically inactive: Looking after home or family; measures: Value","Sex: Males; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Sex: Males; Economic Activity: Economically inactive: Other; measures: Value","Sex: Males; Economic Activity: Unemployed: Age 16 to 24; measures: Value","Sex: Males; Economic Activity: Unemployed: Age 50 to 74; measures: Value","Sex: Males; Economic Activity: Unemployed: Never worked; measures: Value","Sex: Males; Economic Activity: Long-term unemployed; measures: Value","Sex: Females; Economic Activity: All usual residents aged 16 to 74; measures: Value","Sex: Females; Economic Activity: Economically active; measures: Value","Sex: Females; Economic Activity: Economically active: In employment; measures: Value","Sex: Females; Economic Activity: Economically active: Employee: Part-time; measures: Value","Sex: Females; Economic Activity: Economically active: Employee: Full-time; measures: Value","Sex: Females; Economic Activity: Economically active: Self-employed; measures: Value","Sex: Females; Economic Activity: Economically active: Unemployed; measures: Value","Sex: Females; Economic Activity: Economically active: Full-time student; measures: Value","Sex: Females; Economic Activity: Economically Inactive; measures: Value","Sex: Females; Economic Activity: Economically inactive: Retired; measures: Value","Sex: Females; Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Sex: Females; Economic Activity: Economically inactive: Looking after home or family; measures: Value","Sex: Females; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Sex: Females; Economic Activity: Economically inactive: Other; measures: Value","Sex: Females; Economic Activity: Unemployed: Age 16 to 24; measures: Value","Sex: Females; Economic Activity: Unemployed: Age 50 to 74; measures: Value","Sex: Females; Economic Activity: Unemployed: Never worked; measures: Value","Sex: Females; Economic Activity: Long-term unemployed; measures: Value"
"2011","AL1","AL1","Total",26495,20324,18787,3275,12501,3011,861,676,6171,2648,1176,1256,634,457,185,179,94,325,13328,10994,10155,780,7412,1963,518,321,2334,1172,539,78,345,200,113,128,52,194,13167,9330,8632,2495,5089,1048,343,355,3837,1476,637,1178,289,257,72,51,42,131
"2011","AL10","AL10","Total",28375,18286,13563,2743,9159,1661,848,3875,10089,1795,6307,864,690,433,251,142,106,325,14701,9823,7364,656,5526,1182,472,1987,4878,751,3484,74,375,194,141,95,49,176,13674,8463,6199,2087,3633,479,376,1888,5211,1044,2823,790,315,239,110,47,57,149
"2011","AL2","AL2","Total",17068,12631,11559,2365,7032,2162,483,589,4437,2348,737,664,441,247,109,108,50,185,8393,6680,6126,442,4166,1518,279,275,1713,962,392,36,233,90,69,63,31,109,8675,5951,5433,1923,2866,644,204,314,2724,1386,345,628,208,157,40,45,19,76
"2011","AL3","AL3","Total",20120,15038,13980,2682,8568,2730,533,525,5082,2571,822,958,433,298,146,130,64,193,9841,8020,7451,493,5186,1772,322,247,1821,1038,411,51,216,105,95,84,43,115,10279,7018,6529,2189,3382,958,211,278,3261,1533,411,907,217,193,51,46,21,78
"2011","AL4","AL4","Total",19351,14509,13382,2785,8205,2392,516,611,4842,2460,885,862,395,240,126,134,41,195,9485,7583,7050,503,4969,1578,260,273,1902,1100,459,56,184,103,65,76,21,91,9866,6926,6332,2282,3236,814,256,338,2940,1360,426,806,211,137,61,58,20,104
"2011","AL5","AL5","Total",20537,14864,13949,2828,8271,2850,430,485,5673,2784,1114,1259,233,283,93,120,39,154,10107,8072,7595,470,5326,1799,244,233,2035,1219,540,53,111,112,60,71,23,71,10430,6792,6354,2358,2945,1051,186,252,3638,1565,574,1206,122,171,33,49,16,83
"2011","AL6","AL6","Total",8045,5572,5193,1009,2953,1231,196,183,2473,1440,378,404,140,111,55,60,26,69,3994,3054,2858,171,1867,820,120,76,940,610,184,20,70,56,39,38,19,32,4051,2518,2335,838,1086,411,76,107,1533,830,194,384,70,55,16,22,7,37
"2011","AL7","AL7","Total",24247,18472,16575,3416,11208,1951,1081,816,5775,2389,981,1121,879,405,261,192,107,485,11846,9613,8649,610,6628,1411,611,353,2233,984,506,106,465,172,155,135,54,256,12401,8859,7926,2806,4580,540,470,463,3542,1405,475,1015,414,233,106,57,53,229
"2011","AL8","AL8","Total",9126,6549,5979,1282,3725,972,280,290,2577,1424,402,410,223,118,72,75,20,115,4421,3438,3141,216,2267,658,160,137,983,580,214,22,119,48,47,51,15,54,4705,3111,2838,1066,1458,314,120,153,1594,844,188,388,104,70,25,24,5,61
"2011","AL9","AL9","Total",7597,5268,4842,902,2813,1127,187,239,2329,1134,660,326,109,100,47,61,18,68,3635,2800,2604,148,1676,780,107,89,835,498,218,26,55,38,28,36,14,36,3962,2468,2238,754,1137,347,80,150,1494,636,442,300,54,62,19,25,4,32
"2011","B1","B1","Total",7305,5292,4065,417,3249,399,421,806,2013,173,1342,122,223,153,89,59,76,180,4153,3128,2531,201,2037,293,275,322,1025,91,700,7,143,84,46,47,42,129,3152,2164,1534,216,1212,106,146,484,988,82,642,115,80,69,43,12,34,51
"2011","B10","B10","Total",16296,8412,6234,2221,2739,1274,1498,680,7884,1287,1918,2384,1098,1197,442,163,551,549,8110,5523,4201,1228,1845,1128,929,393,2587,608,930,165,527,357,267,122,263,385,8186,2889,2033,993,894,146,569,287,5297,679,988,2219,571,840,175,41,288,164
"2011","B11","B11","Total",29141,15711,12034,3832,6127,2075,2527,1150,13430,2173,3275,3952,1926,2104,691,283,850,964,14645,10036,7782,1922,4068,1792,1605,649,4609,1013,1708,275,927,686,425,193,426,663,14496,5675,4252,1910,2059,283,922,501,8821,1160,1567,3677,999,1418,266,90,424,301
"2011","B12","B12","Total",13847,7519,5564,1684,3055,825,1347,608,6328,917,1757,1613,1118,923,364,164,432,555,7080,4663,3465,858,1912,695,880,318,2417,448,872,129,629,339,226,108,212,428,6767,2856,2099,826,1143,130,467,290,3911,469,885,1484,489,584,138,56,220,127
"2011","B13","B13","Total",26965,18169,15641,3162,9794,2685,1771,757,8796,2753,2015,1605,1539,884,445,292,363,752,13728,10197,8671,1104,5635,1932,1167,359,3531,1173,970,150,858,380,275,214,210,511,13237,7972,6970,2058,4159,753,604,398,5265,1580,1045,1455,681,504,170,78,153,241
"2011","B14","B14","Total",31018,21415,18524,4377,11890,2257,2001,890,9603,3996,1686,1420,1737,764,566,355,410,831,15024,11075,9435,1111,6674,1650,1239,401,3949,1691,816,165,939,338,347,252,234,503,15994,10340,9089,3266,5216,607,762,489,5654,2305,870,1255,798,426,219,103,176,328
"2011","B15","B15","Total",15044,8289,5997,1048,3851,1098,652,1640,6755,1061,4611,376,407,300,123,102,131,290,7546,4370,3297,365,2177,755,422,651,3176,451,2273,44,269,139,79,72,75,201,7498,3919,2700,683,1674,343,230,989,3579,610,2338,332,138,161,44,30,56,89
"2011","B16","B16","Total",18468,12590,9804,1845,6663,1296,1502,1284,5878,1031,2324,861,927,735,318,170,382,579,9865,7225,5607,716,3925,966,968,650,2640,458,1245,70,534,333,183,131,214,400,8603,5365,4197,1129,2738,330,534,634,3238,573,1079,791,393,402,135,39,168,179
"2011","B17","B17","Total",19420,13628,11904,2051,8073,1780,872,852,5792,2071,2041,637,633,410,187,153,149,372,9696,7181,6198,594,4406,1198,574,409,2515,902,993,80,366,174,124,113,92,267,9724,6447,5706,1457,3667,582,298,443,3277,1169,1048,557,267,236,63,40,57,105
"2011","B18","B18","Total",11713,7172,5355,1467,3312,576,1234,583,4541,789,1084,821,713,1134,330,131,367,507,6103,3926,2872,574,1851,447,771,283,2177,371,528,108,400,770,206,82,209,311,5610,3246,2483,893,1461,129,463,300,2364,418,556,713,313,364,124,49,158,196
"2011","B19","B19","Total",13200,7286,4807,1774,2375,658,1605,874,5914,832,1922,1406,794,960,350,180,523,610,6600,4342,2869,839,1482,548,1030,443,2258,370,954,142,413,379,208,134,282,411,6600,2944,1938,935,893,110,575,431,3656,462,968,1264,381,581,142,46,241,199
"2011","B2","B2","Total",596,327,259,15,218,26,27,41,269,12,226,5,18,8,4,3,3,13,341,184,155,7,128,20,13,16,157,6,135,1,11,4,2,2,2,7,255,143,104,8,90,6,14,25,112,6,91,4,7,4,2,1,1,6
"2011","B20","B20","Total",24431,15537,12011,2979,7049,1983,1957,1569,8894,1991,2743,1697,1273,1190,452,301,521,754,12299,8739,6642,1122,3982,1538,1273,824,3560,838,1399,144,685,494,282,209,286,527,12132,6798,5369,1857,3067,445,684,745,5334,1153,1344,1553,588,696,170,92,235,227
"2011","B21","B21","Total",20925,13034,9787,2813,5688,1286,2209,1038,7891,1561,2059,1700,1289,1282,484,282,722,866,10465,7439,5504,1160,3315,1029,1396,539,3026,621,1042,185,639,539,312,183,414,576,10460,5595,4283,1653,2373,257,813,499,4865,940,1017,1515,650,743,172,99,308,290
"2011","B23","B23","Total",30724,20994,17580,3985,11766,1829,2482,932,9730,3307,1844,1593,2006,980,663,411,499,1090,14891,10960,9026,1035,6597,1394,1532,402,3931,1389,903,184,1055,400,386,285,277,675,15833,10034,8554,2950,5169,435,950,530,5799,1918,941,1409,951,580,277,126,222,415
"2011","B24","B24","Total",20742,14194,12017,2616,7929,1472,1492,685,6548,2490,1240,973,1273,572,385,267,287,636,10261,7516,6283,639,4503,1141,953,280,2745,1117,599,105,673,251,247,197,154,402,10481,6678,5734,1977,3426,331,539,405,3803,1373,641,868,600,321,138,70,133,234
"2011","B25","B25","Total",10820,6980,5702,1406,3571,725,961,317,3840,1079,712,949,628,472,286,151,246,395,5204,3870,3123,495,2038,590,589,158,1334,451,313,82,299,189,169,102,132,248,5616,3110,2579,911,1533,135,372,159,2506,628,399,867,329,283,117,49,114,147
"2011","B26","B26","Total",23505,16622,14690,3468,9517,1705,1292,640,6883,3410,1023,1009,955,486,392,256,231,543,11681,8824,7716,774,5617,1325,823,285,2857,1517,535,127,486,192,261,168,150,344,11824,7798,6974,2694,3900,380,469,355,4026,1893,488,882,469,294,131,88,81,199
"2011","B27","B27","Total",17629,11835,10060,2391,6533,1136,1224,551,5794,1915,1082,1176,1051,570,370,191,278,482,8687,6379,5350,674,3813,863,783,246,2308,863,555,130,529,231,236,131,148,309,8942,5456,4710,1717,2720,273,441,305,3486,1052,527,1046,522,339,134,60,130,173
"2011","B28","B28","Total",21107,14368,12635,2870,7799,1966,1077,656,6739,2687,1352,1289,814,597,327,185,232,387,10319,7795,6838,766,4510,1562,632,325,2524,1147,651,107,393,226,206,126,119,240,10788,6573,5797,2104,3289,404,445,331,4215,1540,701,1182,421,371,121,59,113,147
"2011","B29","B29","Total",33279,17533,12255,2791,8057,1407,1614,3664,15746,2623,10217,1155,1107,644,519,234,348,697,15986,8920,6358,769,4585,1004,953,1609,7066,1139,4907,149,567,304,306,167,180,404,17293,8613,5897,2022,3472,403,661,2055,8680,1484,5310,1006,540,340,213,67,168,293
"2011","B3","B3","Total",2495,2019,1797,92,1521,184,96,126,476,17,372,15,40,32,21,6,9,30,1468,1196,1068,41,897,130,69,59,272,13,212,0,31,16,13,4,8,23,1027,823,729,51,624,54,27,67,204,4,160,15,9,16,8,2,1,7
"2011","B30","B30","Total",21275,15315,13641,2859,9286,1496,1025,649,5960,2678,1140,734,951,457,312,186,177,404,10376,7793,6914,655,5192,1067,613,266,2583,1184,565,73,535,226,176,125,102,235,10899,7522,6727,2204,4094,429,412,383,3377,1494,575,661,416,231,136,61,75,169
"2011","B31","B31","Total",38753,26889,23249,5531,15410,2308,2543,1097,11864,4962,2099,1825,2034,944,795,414,510,1097,18750,13815,11763,1247,8741,1775,1581,471,4935,2170,1023,242,1094,406,495,292,302,645,20003,13074,11486,4284,6669,533,962,626,6929,2792,1076,1583,940,538,300,122,208,452
"2011","B32","B32","Total",27218,18234,15358,3733,10012,1613,1971,905,8984,3666,1597,1401,1557,763,570,320,433,854,12828,9192,7631,849,5572,1210,1169,392,3636,1572,781,182,797,304,354,213,251,497,14390,9042,7727,2884,4440,403,802,513,5348,2094,816,1219,760,459,216,107,182,357
"2011","B33","B33","Total",23299,14816,12071,3202,7605,1264,2089,656,8483,2792,1340,1809,1664,878,690,291,503,906,11123,7891,6290,866,4424,1000,1296,305,3232,1236,604,191,854,347,436,196,295,542,12176,6925,5781,2336,3181,264,793,351,5251,1556,736,1618,810,531,254,95,208,364
