"date","geography","geography code","Age: All categories: Age; Sex: All persons; measures: Value","Age: All categories: Age; Sex: Males; measures: Value","Age: All categories: Age; Sex: Females; measures: Value","Age: Age 0 to 4; Sex: All persons; measures: Value","Age: Age 0 to 4; Sex: Males; measures: Value","Age: Age 0 to 4; Sex: Females; measures: Value","Age: Age 5 to 9; Sex: All persons; measures: Value","Age: Age 5 to 9; Sex: Males; measures: Value","Age: Age 5 to 9; Sex: Females; measures: Value","Age: Age 10 to 15; Sex: All persons; measures: Value","Age: Age 10 to 15; Sex: Males; measures: Value","Age: Age 10 to 15; Sex: Females; measures: Value","Age: Age 16 to 19; Sex: All persons; measures: Value","Age: Age 16 to 19; Sex: Males; measures: Value","Age: Age 16 to 19; Sex: Females; measures: Value","Age: Age 20 to 24; Sex: All persons; measures: Value","Age: Age 20 to 24; Sex: Males; measures: Value","Age: Age 20 to 24; Sex: Females; measures: Value","Age: Age 25 to 29; Sex: All persons; measures: Value","Age: Age 25 to 29; Sex: Males; measures: Value","Age: Age 25 to 29; Sex: Females; measures: Value","Age: Age 30 to 34; Sex: All persons; measures: Value","Age: Age 30 to 34; Sex: Males; measures: Value","Age: Age 30 to 34; Sex: Females; measures: Value","Age: Age 35 to 39; Sex: All persons; measures: Value","Age: Age 35 to 39; Sex: Males; measures: Value","Age: Age 35 to 39; Sex: Females; measures: Value","Age: Age 40 to 44; Sex: All persons; measures: Value","Age: Age 40 to 44; Sex: Males; measures: Value","Age: Age 40 to 44; Sex: Females; measures: Value","Age: Age 45 to 49; Sex: All persons; measures: Value","Age: Age 45 to 49; Sex: Males; measures: Value","Age: Age 45 to 49; Sex: Females; measures: Value","Age: Age 50 to 54; Sex: All persons; measures: Value","Age: Age 50 to 54; Sex: Males; measures: Value","Age: Age 50 to 54; Sex: Females; measures: Value","Age: Age 55 to 59; Sex: All persons; measures: Value","Age: Age 55 to 59; Sex: Males; measures: Value","Age: Age 55 to 59; Sex: Females; measures: Value","Age: Age 60 to 64; Sex: All persons; measures: Value","Age: Age 60 to 64; Sex: Males; measures: Value","Age: Age 60 to 64; Sex: Females; measures: Value","Age: Age 65 to 69; Sex: All persons; measures: Value","Age: Age 65 to 69; Sex: Males; measures: Value","Age: Age 65 to 69; Sex: Females; measures: Value","Age: Age 70 to 74; Sex: All persons; measures: Value","Age: Age 70 to 74; Sex: Males; measures: Value","Age: Age 70 to 74; Sex: Females; measures: Value","Age: Age 75 to 79; Sex: All persons; measures: Value","Age: Age 75 to 79; Sex: Males; measures: Value","Age: Age 75 to 79; Sex: Females; measures: Value","Age: Age 80 to 84; Sex: All persons; measures: Value","Age: Age 80 to 84; Sex: Males; measures: Value","Age: Age 80 to 84; Sex: Females; measures: Value","Age: Age 85 and over; Sex: All persons; measures: Value","Age: Age 85 and over; Sex: Males; measures: Value","Age: Age 85 and over; Sex: Females; measures: Value"
"2011","AL - St Albans","AL - St Albans",256298,124372,131926,17091,8789,8302,15102,7701,7401,18005,8968,9037,13399,6742,6657,19016,9606,9410,17418,8679,8739,17428,8765,8663,18054,8653,9401,19178,9191,9987,19093,8932,10161,16369,7872,8497,14052,6858,7194,13763,6662,7101,10332,4974,5358,8690,4073,4617,7671,3497,4174,5985,2537,3448,5652,1873,3779
"2011","B - Birmingham","B - Birmingham",1951302,963273,988029,132898,68428,64470,122336,62977,59359,149872,77169,72703,106760,54006,52754,143748,70436,73312,140201,68951,71250,133392,65531,67861,132106,66261,65845,142482,71211,71271,137944,68891,69053,118064,59336,58728,103988,52709,51279,101946,51023,50923,81942,39923,42019,67060,31575,35485,55841,25030,30811,42528,17629,24899,38194,12187,26007
"2011","BA - Bath","BA - Bath",440490,213502,226988,24343,12492,11851,23060,11884,11176,31156,15835,15321,24999,12735,12264,30972,15619,15353,25100,12737,12363,23868,11660,12208,27082,12939,14143,31696,15165,16531,32603,15588,17015,29171,14056,15115,26845,13013,13832,28975,13948,15027,23200,11225,11975,18340,8697,9643,15204,7019,8185,11871,4938,6933,12005,3952,8053
"2011","BB - Blackburn","BB - Blackburn",483065,238524,244541,33615,17176,16439,30811,15771,15040,38006,19543,18463,25037,12907,12130,29529,14359,15170,31426,15465,15961,29185,14474,14711,30793,15188,15605,34951,17513,17438,34014,17159,16855,31232,15738,15494,28183,14216,13967,30556,15264,15292,22862,11272,11590,17999,8687,9312,14313,6389,7924,10751,4316,6435,9802,3087,6715
"2011","BD - Bradford","BD - Bradford",574120,279090,295030,44064,22499,21565,40210,20482,19728,47663,24177,23486,30203,15463,14740,37746,18337,19409,40616,19235,21381,38380,18860,19520,38099,18979,19120,40169,19501,20668,38468,18479,19989,35935,17347,18588,31649,15842,15807,31089,15299,15790,21977,10608,11369,19503,9024,10479,15795,6898,8897,11684,4656,7028,10870,3404,7466
"2011","BH - Bournemouth","BH - Bournemouth",544786,264793,279993,28466,14557,13909,25726,13234,12492,34276,17530,16746,25918,13182,12736,34416,17629,16787,31400,15732,15668,31141,15917,15224,31994,16164,15830,36384,18151,18233,38275,18827,19448,33739,16378,17361,31418,14980,16438,37618,17924,19694,31955,15449,16506,26623,12641,13982,23977,10793,13184,20156,8385,11771,21304,7320,13984
"2011","BL - Bolton","BL - Bolton",374512,180171,194341,24931,12676,12255,22887,11856,11031,29009,15034,13975,20099,10224,9875,24181,11779,12402,24227,11549,12678,22325,10615,11710,24046,11322,12724,27796,13095,14701,27119,12581,14538,23524,11037,12487,20944,10103,10841,23502,11378,12124,18375,9081,9294,14838,7060,7778,11252,5060,6192,8079,3303,4776,7378,2418,4960
"2011","BN - Brighton","BN - Brighton",764624,365285,399339,43632,22570,21062,40472,20888,19584,51098,26361,24737,38829,19693,19136,51981,25758,26223,45628,23018,22610,44015,21002,23013,47444,22454,24990,53356,25314,28042,54072,25586,28486,45765,21731,24034,42022,19863,22159,48663,23271,25392,40905,19455,21450,34878,16071,18807,30038,13387,16651,25131,10285,14846,26695,8578,18117
"2011","BR - Bromley","BR - Bromley",263900,122098,141802,19108,9754,9354,17698,8973,8725,22208,11367,10841,14081,7063,7018,14111,6842,7269,13434,6444,6990,13796,6487,7309,14838,6399,8439,17821,7675,10146,18354,8015,10339,16159,7293,8866,14076,6369,7707,16476,7457,9019,13527,6261,7266,11539,5115,6424,10421,4604,5817,8416,3404,5012,7837,2576,5261
"2011","BS - Bristol","BS - Bristol",952555,473326,479229,59613,30495,29118,50888,25875,25013,62967,32081,30886,47651,24201,23450,71200,35816,35384,68064,34485,33579,65128,33108,32020,64581,32753,31828,70010,35578,34432,70186,35803,34383,59994,30372,29622,52958,26579,26379,55235,27652,27583,44437,21986,22451,35177,16718,18459,29429,13224,16205,22408,9401,13007,22629,7199,15430
"2011","CA - Carlisle","CA - Carlisle",319648,157822,161826,16639,8534,8105,16007,8303,7704,21300,10810,10490,15241,7905,7336,17001,8575,8426,17406,8700,8706,16666,8438,8228,18859,9189,9670,23877,11815,12062,25074,12563,12511,23531,11772,11759,21223,10674,10549,23815,12025,11790,18537,9285,9252,15431,7452,7979,12219,5601,6618,8880,3622,5258,7942,2559,5383
"2011","CB - Cambridge","CB - Cambridge",435157,216762,218395,25692,13202,12490,22828,11751,11077,27596,14064,13532,23276,11939,11337,35621,18870,16751,32725,16675,16050,32266,16589,15677,31017,15669,15348,32065,15837,16228,31711,15643,16068,27261,13499,13762,24023,11673,12350,24918,12405,12513,18696,9179,9517,14479,6974,7505,11921,5529,6392,9609,4026,5583,9453,3238,6215
"2011","CH - Chester","CH - Chester",638521,309078,329443,38000,19346,18654,35529,18089,17440,46419,24037,22382,32658,16778,15880,38188,18915,19273,35838,17743,18095,33578,16263,17315,38217,18630,19587,44700,21492,23208,47202,22720,24482,42805,20811,21994,39329,18941,20388,44083,21562,22521,34962,16917,18045,29579,13905,15674,23788,10545,13243,17717,7269,10448,15929,5115,10814
"2011","CM - Chelmsford","CM - Chelmsford",614945,294808,320137,39599,20263,19336,37760,19358,18402,48123,24740,23383,31456,16055,15401,32912,16556,16356,33649,16647,17002,34054,16322,17732,38268,17723,20545,44887,20543,24344,45651,21221,24430,40762,19318,21444,36689,17760,18929,40784,19433,21351,31802,15205,16597,25396,11807,13589,21599,9944,11655,16396,6837,9559,15158,5076,10082
