"date","geography","geography code","Rural Urban","Sex: All persons; Economic Activity: All usual residents aged 16 to 74; measures: Value","Sex: All persons; Economic Activity: Economically active; measures: Value","Sex: All persons; Economic Activity: Economically active: In employment; measures: Value","Sex: All persons; Economic Activity: Economically active: Employee: Part-time; measures: Value","Sex: All persons; Economic Activity: Economically active: Employee: Full-time; measures: Value","Sex: All persons; Economic Activity: Economically active: Self-employed; measures: Value","Sex: All persons; Economic Activity: Economically active: Unemployed; measures: Value","Sex: All persons; Economic Activity: Economically active: Full-time student; measures: Value","Sex: All persons; Economic Activity: Economically Inactive; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Retired; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Sex: All persons; Economic Activity: Economically inactive: Looking after home or family; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Other; measures: Value","Sex: All persons; Economic Activity: Unemployed: Age 16 to 24; measures: Value","Sex: All persons; Economic Activity: Unemployed: Age 50 to 74; measures: Value","Sex: All persons; Economic Activity: Unemployed: Never worked; measures: Value","Sex: All persons; Economic Activity: Long-term unemployed; measures: Value","Sex: Males; Economic Activity: All usual residents aged 16 to 74; measures: Value","Sex: Males; Economic Activity: Economically active; measures: Value","Sex: Males; Economic Activity: Economically active: In employment; measures: Value","Sex: Males; Economic Activity: Economically active: Employee: Part-time; measures: Value","Sex: Males; Economic Activity: Economically active: Employee: Full-time; measures: Value","Sex: Males; Economic Activity: Economically active: Self-employed; measures: Value","Sex: Males; Economic Activity: Economically active: Unemployed; measures: Value","Sex: Males; Economic Activity: Economically active: Full-time student; measures: Value","Sex: Males; Economic Activity: Economically Inactive; measures: Value","Sex: Males; Economic Activity: Economically inactive: Retired; measures: Value","Sex: Males; Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Sex: Males; Economic Activity: Economically inactive: Looking after home or family; measures: Value","Sex: Males; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Sex: Males; Economic Activity: Economically inactive: Other; measures: Value","Sex: Males; Economic Activity: Unemployed: Age 16 to 24; measures: Value","Sex: Males; Economic Activity: Unemployed: Age 50 to 74; measures: Value","Sex: Males; Economic Activity: Unemployed: Never worked; measures: Value","Sex: Males; Economic Activity: Long-term unemployed; measures: Value","Sex: Females; Economic Activity: All usual residents aged 16 to 74; measures: Value","Sex: Females; Economic Activity: Economically active; measures: Value","Sex: Females; Economic Activity: Economically active: In employment; measures: Value","Sex: Females; Economic Activity: Economically active: Employee: Part-time; measures: Value","Sex: Females; Economic Activity: Economically active: Employee: Full-time; measures: Value","Sex: Females; Economic Activity: Economically active: Self-employed; measures: Value","Sex: Females; Economic Activity: Economically active: Unemployed; measures: Value","Sex: Females; Economic Activity: Economically active: Full-time student; measures: Value","Sex: Females; Economic Activity: Economically Inactive; measures: Value","Sex: Females; Economic Activity: Economically inactive: Retired; measures: Value","Sex: Females; Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Sex: Females; Economic Activity: Economically inactive: Looking after home or family; measures: Value","Sex: Females; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Sex: Females; Economic Activity: Economically inactive: Other; measures: Value","Sex: Females; Economic Activity: Unemployed: Age 16 to 24; measures: Value","Sex: Females; Economic Activity: Unemployed: Age 50 to 74; measures: Value","Sex: Females; Economic Activity: Unemployed: Never worked; measures: Value","Sex: Females; Economic Activity: Long-term unemployed; measures: Value"
"2011","AL - St Albans","AL - St Albans","Total",180961,131513,117809,23287,74435,20087,5415,8289,49448,20993,13462,8124,4177,2692,1345,1201,565,2114,89751,70077,62993,4489,45023,13481,3093,3991,19674,8914,6947,522,2173,1118,812,777,321,1134,91210,61436,54816,18798,29412,6606,2322,4298,29774,12079,6515,7602,2004,1574,533,424,244,980
"2011","B - Birmingham","B - Birmingham","Total",1363116,912221,778465,183181,490972,104312,83471,50285,450895,172029,100865,73854,63508,40639,23735,13777,18286,34056,672712,491351,416460,47129,290966,78365,51982,22909,181361,74347,49804,7144,32882,17184,15031,9454,10240,21202,690404,420870,362005,136052,200006,25947,31489,27376,269534,97682,51061,66710,30626,23455,8704,4323,8046,12854
"2011","BA - Bath","BA - Bath","Total",316569,224340,203876,48279,119624,35973,9309,11155,92229,46496,19944,11382,9721,4686,2698,1988,982,3432,156419,118474,108035,9440,74713,23882,5498,4941,37945,19600,10388,896,4943,2118,1697,1282,624,1834,160150,105866,95841,38839,44911,12091,3811,6214,54284,26896,9556,10486,4778,2568,1001,706,358,1598
"2011","BB - Blackburn","BB - Blackburn","Total",351635,234005,207357,49209,128056,30092,16450,10198,117630,51627,16490,18028,22153,9332,5194,2660,2801,6451,175341,127068,112546,13489,76807,22250,10034,4488,48273,22210,8336,1917,11930,3880,3110,1834,1534,3829,176294,106937,94811,35720,51249,7842,6416,5710,69357,29417,8154,16111,10223,5452,2084,826,1267,2622
"2011","BD - Bradford","BD - Bradford","Total",408104,274299,237955,58954,142696,36305,22787,13557,133805,50924,24656,25492,19607,13126,6656,3538,5223,9041,202422,151047,130261,16909,86168,27184,14221,6565,51375,21407,12696,2187,10001,5084,4130,2459,2898,5581,205682,123252,107694,42045,56528,9121,8566,6992,82430,29517,11960,23305,9606,8042,2526,1079,2325,3460
"2011","BH - Bournemouth","BH - Bournemouth","Total",398018,275378,248340,58821,145881,43638,12591,14447,122640,68010,19548,14773,13977,6332,3209,2965,1147,4708,197683,147049,132732,12169,89917,30646,7668,6649,50634,28776,9997,1295,7637,2929,2077,1966,766,2634,200335,128329,115608,46652,55964,12992,4923,7798,72006,39234,9551,13478,6340,3403,1132,999,381,2074
"2011","BL - Bolton","BL - Bolton","Total",276700,187980,166838,38513,104838,23487,12910,8232,88720,41498,13608,12288,14989,6337,4007,2161,2289,5021,137079,100121,88349,9145,61773,17431,7989,3783,36958,17912,7062,1359,7971,2654,2507,1505,1314,2997,139621,87859,78489,29368,43065,6056,4921,4449,51762,23586,6546,10929,7018,3683,1500,656,975,2024
"2011","BN - Brighton","BN - Brighton","Total",585611,410984,367325,84347,210470,72508,20453,23206,174627,86264,34180,21425,22846,9912,5428,4345,2218,7924,288176,215722,192822,18846,124079,49897,12185,10715,72454,36388,17352,1977,12050,4687,3421,2797,1386,4412,297435,195262,174503,65501,86391,22611,8268,12491,102173,49876,16828,19448,10796,5225,2007,1548,832,3512
"2011","BR - Bromley","BR - Bromley","Total",213478,153503,140118,28363,86931,24824,8060,5325,59975,29705,10146,10499,5661,3964,2066,1716,1112,3268,102616,80011,73111,5229,50136,17746,4541,2359,22605,12302,5052,713,2902,1636,1277,1059,635,1670,110862,73492,67007,23134,36795,7078,3519,2966,37370,17403,5094,9786,2759,2328,789,657,477,1598
"2011","BS - Bristol","BS - Bristol","Total",692383,496499,444782,103051,277511,64220,24356,27361,195884,90574,42580,25059,25332,12339,6694,4503,3121,8870,346112,263267,235844,20172,170537,45135,14759,12664,82845,39307,21953,2210,13643,5732,4258,2992,1838,5174,346271,233232,208938,82879,106974,19085,9597,14697,113039,51267,20627,22849,11689,6607,2436,1511,1283,3696
